scenario,path,style,tag,x,y,width,height,parent_x,parent_y,parent_width,parent_height,font_px
LD6-E1-1280x800,fig/4/28/2,text,,98.233600,393.158400,110.668800,20.697600,90.688000,336.240000,125.760000,86.240000,12.000000
LD6-E1-1280x800,fig/4/29,text,lead:E2,216.448000,377.860000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/30,text,lead:E2,88.728000,377.860000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/31,frame,component:R,484.736000,336.240000,159.296000,86.240000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/31/1,text,reading:R,491.107840,339.689600,146.552320,50.019200,484.736000,336.240000,159.296000,86.240000,14.000000
LD6-E1-1280x800,fig/4/31/2,text,,494.293760,393.158400,140.180480,20.697600,484.736000,336.240000,159.296000,86.240000,12.000000
LD6-E1-1280x800,fig/4/32,text,lead:R,644.032000,377.860000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/33,text,lead:R,478.584000,377.860000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/34,frame,component:A,585.344000,484.080000,117.376000,98.560000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/34/1,text,reading:A,590.039040,488.022400,107.985920,57.164800,585.344000,484.080000,117.376000,98.560000,14.000000
LD6-E1-1280x800,fig/4/34/2,text,,592.386560,549.129600,103.290880,23.654400,585.344000,484.080000,117.376000,98.560000,12.000000
LD6-E1-1280x800,fig/4/35,text,lead:A,702.720000,538.020000,6.152000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/36,text,lead:A,583.384000,538.020000,1.960000,3.000000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/37,frame,component:K,354.784000,496.400000,100.608000,86.240000,32.000000,96.000000,838.400000,616.000000,14.000000
LD6-E1-1280x800,fig/4/37/1,text,reading:K,358.808320,499.849600,92.559360,50.019200,354.784000,496.400000,100.608000,86.240000,14.000000
