scenario,path,style,tag,x,y,width,height,parent_x,parent_y,parent_width,parent_height,font_px
LD7-E1-1280x800	fig/4/46	pushbutton	B12	459.584000	160.680000	197.024000	46.200000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E1-1280x800	fig/4/47	pushbutton	B11	254.176000	160.680000	197.024000	46.200000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E1-1280x800	fig/4/48	pushbutton	B10	48.768000	160.680000	197.024000	46.200000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E1-1280x800	fig/4/49	listbox	V02	65.536000	551.840000	612.032000	147.840000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E1-1280x800	fig/4/50	text		694.336000	114.480000	159.296000	80.080000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E1-1280x800	fig/5	pushbutton		1113.600000	744.000000	134.400000	35.200000	0.000000	0.000000	1280.000000	800.000000	14.000000
LD7-E1-1280x800	fig/6	text		38.400000	716.000000	1203.200000	20.000000	0.000000	0.000000	1280.000000	800.000000	12.000000
LD7-E1-1280x800	fig/7	text		902.400000	744.000000	192.000000	35.200000	0.000000	0.000000	1280.000000	800.000000	14.000000
LD7-E1-1280x800	fig/8	text		38.400000	740.000000	832.000000	40.000000	0.000000	0.000000	1280.000000	800.000000	22.000000
LD7-E2-1280x800	fig/1	text		32.000000	16.000000	1216.000000	28.000000	0.000000	0.000000	1280.000000	800.000000	12.000000
LD7-E2-1280x800	fig/2	text		32.000000	44.000000	1216.000000	28.000000	0.000000	0.000000	1280.000000	800.000000	13.000000
LD7-E2-1280x800	fig/3	frame		896.000000	96.000000	352.000000	616.000000	0.000000	0.000000	1280.000000	800.000000	29.000000
LD7-E2-1280x800	fig/3/1	pushbutton	B05	1064.960000	105.240000	158.400000	27.720000	896.000000	96.000000	352.000000	616.000000	12.000000
LD7-E2-1280x800	fig/3/2	pushbutton		920.640000	105.240000	130.240000	27.720000	896.000000	96.000000	352.000000	616.000000	12.000000
LD7-E2-1280x800	fig/3/3	pushbutton		920.640000	148.360000	302.720000	46.200000	896.000000	96.000000	352.000000	616.000000	15.000000
LD7-E2-1280x800	fig/3/28	text		920.640000	502.560000	302.720000	178.640000	896.000000	96.000000	352.000000	616.000000	14.000000
LD7-E2-1280x800	fig/4	frame		32.000000	96.000000	838.400000	616.000000	0.000000	0.000000	1280.000000	800.000000	29.000000
LD7-E2-1280x800	fig/4/1	text	wire	667.684000	292.560000	3.000000	68.880000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/2	text	wire	458.084000	292.560000	3.000000	68.880000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/3	text	wire	44.576000	491.820000	6.152000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/4	text	wire	43.076000	216.120000	3.000000	277.200000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/5	text	wire	44.576000	214.620000	624.608000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/6	text	wire	667.684000	292.560000	3.000000	68.880000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/7	text	wire	667.684000	216.120000	3.000000	34.440000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/8	text	wire	458.084000	403.440000	3.000000	34.440000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/9	text	wire	459.584000	436.380000	268.288000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/10	text	wire	726.372000	437.880000	3.000000	34.440000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/11	text	wire	499.544000	491.820000	45.840000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/12	text	wire	256.408000	491.820000	54.224000	3.000000	32.000000	96.000000	838.400000	616.000000	29.000000
LD7-E2-1280x800	fig/4/13	pushbutton	T10	651.184000	251.560000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/14	pushbutton	T09	441.584000	251.560000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/15	pushbutton	T08	651.184000	362.440000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/16	pushbutton	T07	441.584000	362.440000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
LD7-E2-1280x800	fig/4/17	pushbutton	T06	709.872000	473.320000	36.000000	40.000000	32.000000	96.000000	838.400000	616.000000	12.000000
